Date,Campaign Key,Campaign Name,Campaign Type,Activity Name,Region,Country,Customer_No,Buyer,Buyer_No,Marketing Spend,Status,Budget,Total Spend,Offline Spend,Content & Media Cost,Program Operation Cost,Inventory Production Cost,Campaign Production Cost,Promotional Material Support Cost,Customer Marketing Support Cost,Incentive & Reward Cost,Digital Spend,Number of Offline Leads,Target Order Performance,Actual Order Performance,% of Target Order,Target Sales Performance,Actual Sales Performance,% of Target Sales,Number of Online Leads,Number of Contents,Impression,Reach,View,Engagement,Click,CPM,CPV,CTR,CPC,CPE,CPL
2024-12-11,STSTAR-2024,SteerStar,Ambassador,Marketing Rewards,LATAM,Guatemala,200399,J.A. VASQUEZ,101-010,SteerStar 2024 Reward 정산 건 : Vasquez (LA 100),Complete,,2856200,"2,856,200 ",,,,,,,"2,856,200 ",,,,,,,,,,,,,,,,,,,,,
2024-12-13,FREERE-2024,Free Replacement Event,Promotion,Operations,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,위너 배너제작용 보드구매 (SEA 100),Complete,,24000,"24,000 ",,,,"24,000 ",,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,FREERE-2024,Free Replacement Event,Promotion,Operations,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,이벤트 당첨자 및 SteerStar 위너 배너인쇄 (SEA 100),Complete,,65455,"65,455 ",,,,"65,455 ",,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,LATAM,Guatemala,200403,CLUTCHES DE GUATEMALA,101-011,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_GUATEMALA_CLUTC,Complete,,1595851,"1,595,851 ",,,,,,"1,595,851 ",,,,"30,000.00 ","34,838.00 ",116.13%,,,,,,,,,,,,,,,,
2024-12-17,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,LATAM,Nicaragua,200173,CASA CROSS,108-001,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Nicaragua_Casa Cr,Complete,,1381106,"1,381,106 ",,,,,,"1,381,106 ",,,,"30,000.00 ","30,067.00 ",100.22%,,,,,,,,,,,,,,,,
2024-12-20,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,LATAM,Barbados,200601,MARK'S AUTO SPARE,809-008,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Barbados_Mark's A,Complete,,4138662,"4,138,662 ",,,,,,"4,138,662 ",,,,"50,000.00 ","89,214.00 ",178.43%,,,,,,,,,,,,,,,,
2024-12-24,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Australia,200394,Bapcor Logistics Services Pty Ltd,540-003,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Austraila_ROAD SA,Complete,,2103630,"2,103,630 ",,,,,,"2,103,630 ",,,,"72,000.00 ","72,573.90 ",100.80%,,,,,,,,,,,,,,,,
2024-12-30,STSTAR-2024,SteerStar,Ambassador,Marketing Rewards,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,SteerStar 2024 Reward 정산 건 : Chuan Lam (ASIA 100),Complete,,2948200,"2,948,200 ",,,,,,,"2,948,200 ",,117 ,,,,,,,,,,,,,,,,,,,
2024-12-30,FREERE-2024,Free Replacement Event,Promotion,Media & Creative,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,동남아시아 Free Replacement Brand Promotion 콘텐츠 제작 건,Complete,,6500000,0 ,"6,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,STSTAR-2024,SteerStar,Ambassador,Marketing Rewards,Middle East,Oman,202000,Diamond Auto Spare Parts,663-002,SteerStar 2024 Reward 정산 건 : Diamind Auto Spare Pa,Complete,,2940000,"2,940,000 ",,,,,,,"2,940,000 ",,,,,,,,,,,,,,,,,,,,,
2024-12-31,STSTAR-2024,SteerStar,Ambassador,Field Marketing,Middle East,Kuwait,288329,Auto1,664-001,SteerStar 마케팅 활동비 정산 건 : Auto1 (MENA 100),Complete,,5880000,"5,880,000 ",,,,,,"5,880,000 ",,,,,,,,,,,,,,,,,,,,,,
2024-12-31,FREERE-2024,Free Replacement Event,Promotion,Logistics,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,Free Replacement Event 운영비 지급 건 (ASIA 100),Complete,,4065785,"4,065,785 ",,"4,065,785 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-14,FREERE-2024,Free Replacement Event,Promotion,Logistics,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,Free Replacement Event 운영비 지급 건 (ASIA 100),Complete,,201730,"201,730 ",,"201,730 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-11,CMMENA-2025,Co-funded Marketing (ME),Local Marketing,Sponsorship,Middle East,Saudi Arabia,288457,NEW EAST,661-008,중동 NEWEAST 사우디 전시회 스폰서쉽 비용 지급 (MENA 100),Complete,,9674248,"9,674,248 ",,,,,,"9,674,248 ",,,,,,,,,,,,,,,,,,,,,,
2025-03-14,LORDTS-2025,Lordco Trade Show,Local Marketing,Promotional Materials,N.America,Canada,289029,Lordco Auto Parts,322-003,Lordco Trade Show 전시회 백월 제작 정산 건 (NA 100),Complete,,614000,"614,000 ",,,,,"614,000 ",,,,,,,,,,,,,,,,,,,,,,,
2025-03-17,LORDTS-2025,Lordco Trade Show,Local Marketing,Promotional Materials,N.America,Canada,289029,Lordco Auto Parts,322-003,Lordco Trade Show 전시회 X배너 제작 정산 건 (NA 100),Complete,,19000,"19,000 ",,,,,"19,000 ",,,,,,,,,,,,,,,,,,,,,,,
2025-04-02,LORDTS-2025,Lordco Trade Show,Local Marketing,Promotional Materials,N.America,Canada,289029,Lordco Auto Parts,322-003,Lordco Trade Show 전시회 테이블 커버 제작 정산 건 (NA 100),Complete,,330000,"330,000 ",,,,,"330,000 ",,,,,,,,,,,,,,,,,,,,,,,
2025-04-24,LORDTS-2025,Lordco Trade Show,Local Marketing,Promotional Materials,N.America,Canada,289029,Lordco Auto Parts,322-003,Lordco Trade Show 전시회 아트워크 비용 정산 건 (NA 100),Complete,,1500000,0 ,"1,500,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-02,PROMAT-2025,Promotional Materials,Material Support,Promotional Materials,Middle East,United Arab Emirates : UAE,288404,ENTREPOSTO COMERCIAL LDA,613-001,JAP International 오피스 현수막 아트워크 및 인쇄 비용 정산 건 (MENA,Complete,,630000,"630,000 ",,,,,"630,000 ",,,,,,,,,,,,,,,,,,,,,,,
2025-06-10,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Vietnam,200371,MAST MOTORING AUTOPARTS SOLUTIONS AND,551-006,SteerStar 마케팅 활동비 정산 건 : MAST (ASIA 100)(1차 정산),Complete,,4344403,"4,344,403 ",,,,,,"4,344,403 ",,,60 ,,,,,,,,,,464 ,,,6 ,,,,,,
2025-10-22,TECHSM-2025,Tech Seminar,Local Marketing,Operations,CIS,Georgia,200342,TEGETA  RETAIL LLC,272-001,그루지아 출장 현장 이벤트 경품 구매 (CIS 100),Complete,,1163956,"1,163,956 ",,,,"1,163,956 ",,,,,,,,,,,,,,,,,,,,,,,,
2025-10-22,TECHSM-2025,Tech Seminar,Local Marketing,Operations,CIS,Georgia,200342,TEGETA  RETAIL LLC,272-001,그루지아 출장 현장 이벤트 배너 제작 (CIS 100),Complete,,437374,"437,374 ",,,,"437,374 ",,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11,PROMAT-2025,Promotional Materials,Material Support,Promotional Materials,Middle East,United Arab Emirates : UAE,200453,NEW EAST GENERAL TRADING,672-001,고객사 VIP 및 경조사 축하용 거북선 장식품 판촉물 구매 건 (MENA 100),Complete,,538182,"538,182 ",,,,,"1,076,364 ",,,,,,,,,,,,,,,,,,,,,,,
2025-11-11,PROMAT-2025,Promotional Materials,Material Support,Promotional Materials,Middle East,South Africa,290057,ZENTER PARTS,646-003,고객사 VIP 및 경조사 축하용 거북선 장식품 판촉물 구매 건 (MENA 100),Complete,,538182,"538,182 ",,,,,"1,076,364 ",,,,,,,,,,,,,,,,,,,,,,,
2025-12-02,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Africa,Mazambique,288404,ENTREPOSTO COMERCIAL LDA,613-001,SteerStar 활동비 정산건 : ENTREPOSTO 1차 (MENA 100),Complete,,5548556,"5,548,556 ",,,,,,"5,548,556 ",,,,,,,,,,,,,,,,,,,,,,
2025-12-08,STSTAR-2025,SteerStar,Ambassador,Field Marketing,N.America,United States,287557,APW,320-008,"SteerStar 활동비 정산건 : CTR America_APW, Motorcade (NA",Complete,,16929150,"16,929,150 ",,,,,,"16,929,150 ",,,100 ,,,,,,,,,,,,,,,,,,,
2025-12-10,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Thailand,288352,GP Mobility Public Company Limited,530-000,SteerStar 활동비 정산건 : GP MOBILITY (Asia 100),Complete,,10292800,"10,292,800 ",,,,,,"10,292,800 ",,,,,,,,,,,,,,,,,,,,,,
2025-12-12,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Asia & Pacific,Vietnam,200371,MAST MOTORING AUTOPARTS SOLUTIONS AND,551-006,SteerStar 활동비 정산건 : MAST 2차 (ASIA 100),Complete,,5588509,"5,588,509 ",,,,,,"5,588,509 ",,,6 ,,,,,,,,,,,,,,,,,,,
2025-12-16,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Middle East,Oman,202000,Diamond Auto Spare Parts,663-002,SteerStar 활동비 정산건 : Diamond (MENA 100),Complete,,10318700,"10,318,700 ",,,,,,"10,318,700 ",,,,,,,,,,,,,,,,,,,,,,
2025-12-18,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Africa,Mazambique,288404,ENTREPOSTO COMERCIAL LDA,613-001,SteerStar 활동비 정산건 : ENTREPOSTO 2차 (MENA 100),Complete,,4765764,"4,765,764 ",,,,,,"4,765,764 ",,,30 ,,,,,,,,,"1,153,572 ","441,058 ",,,"19,860 ",,,,,,
2025-12-23,CMMENA-2025,Co-funded Marketing (ME),Local Marketing,Co-Marketing,Middle East,United Arab Emirates : UAE,200453,NEW EAST GENERAL TRADING,672-001,중동 NEWEAST 마케팅 협업 집행 건 (MENA 100),Complete,,55310860,"55,310,860 ",,,,,,"55,310,860 ",,,,,,,,,,,,,,,,,,,,,,
2025-12-26,STSTAR-2025,SteerStar,Ambassador,Field Marketing,LATAM,Guatemala,200403,CLUTCHES DE GUATEMALA,101-011,SteerStar 활동비 정산건 : CLUTCHES DE GUATEMALA (LATAM 1,Complete,,10224200,"10,224,200 ",,,,,,"10,224,200 ",,,"1,300 ",,,,,,,,,"1,800,000 ","1,010,400 ",,"30,000 ",,,,,,,
2025-12-30,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Europe,Greece,288317,LIAKOPOULOS COMMERCIAL & INDUSTRIAL SA,250-006,SteerStar 활동비 정산건 : LIAKOPOULOS (EU 100),Complete,,8653558,"8,653,558 ",,,,,,"8,653,558 ",,,,,,,,,,,,,,,,,,,,,,
2025-12-30,STSTAR-2025,SteerStar,Ambassador,Field Marketing,Europe,Moldova,200467,GBS S.R.L.,381-004,SteerStar 활동비 정산건 : GBS SRL (EU 100),Complete,,10037300,"10,037,300 ",,,,,,"10,037,300 ",,,,,,,,,,,,,,,,,,,,,,
2025-12-30,STSTAR-2025,SteerStar,Ambassador,Field Marketing,CIS,Kazakhstan,287553,AUTOTRADE KZ,280-009,SteerStar 활동비 정산건 : Autotrade (CIS 100),Complete,,10037300,"10,037,300 ",,,,,,"10,037,300 ",,,22 ,,,,,,,,,,,,,,,,,,,
2025-12-30,STSTAR-2025,SteerStar,Ambassador,Field Marketing,CIS,Armenia,289070,DRIVE MOTORS LLC,273-002,SteerStar 활동비 정산건 : Drive Motors (CIS 100),Complete,,10037300,"10,037,300 ",,,,,,"10,037,300 ",,,31 ,,,,,,,,,,,,,,,,,,,
2025-12-31,FREERE-2024,Free Replacement Event,Promotion,Logistics,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,Free replacement event 운영을 위한 상품 배송비 (ASIA 100),Complete,,299162,"299,162 ",,"299,162 ",,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-06,CMLATM-2025,Co-funded Marketing (LATAM),Local Marketing,Co-Marketing,LATAM,Colombia,200443,UNIVERSAL DE REPUESTOS,130-090,세일즈랩 운영 계약,Complete,,21317460,"21,317,460 ",,,,,,"21,317,460 ",,,,,,,,,,,,,,,,,,,,,,
2025-06-06,CMLATM-2025,Co-funded Marketing (LATAM),Local Marketing,Co-Marketing,LATAM,Panama,200358,RP INTERNATIONAL GROUP INC,120-100,세일즈랩 운영 계약,Complete,,7733195,"7,733,195 ",,,,,,"7,733,195 ",,,,,,,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Vietnam,200371,MAST MOTORING AUTOPARTS SOLUTIONS AND,551-006,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Mast,Complete,,10267600,"10,267,600 ",,,,,,"10,267,600 ",,,,"696,871.74 ","711,084.00 ",102.04%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Vietnam,200393,THANH CONG SERVICE & MACHINERY,551-017,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Thanh cong,Complete,,2933600,"2,933,600 ",,,,,,"2,933,600 ",,,,"285,027.36 ","343,518.00 ",120.52%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Cambodia,287550,ENG VY AUTO PARTS,553-006,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Eng Vy Auto,Complete,,5867200,"5,867,200 ",,,,,,"5,867,200 ",,,,0.00 ,"36,712.00 ",100.00%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Indonesia,200335,ZENTRALINK OTOPARTS,520-104,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Zentralink,Complete,,10267600,"10,267,600 ",,,,,,"10,267,600 ",,,,"50,221.56 ","74,022.00 ",147.39%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Malaysia,200264,MARBORO AUTO PARTS (M) SDN. BHD.,560-284,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Marboro,Complete,,5867200,"5,867,200 ",,,,,,"5,867,200 ",,,,"198,609.66 ","111,454.00 ",56.12%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Malaysia,288442,SOMMET AUTO PARTS SDN BHD,560-137,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Sommet,Complete,,1466800,"1,466,800 ",,,,,,"1,466,800 ",,,,"72,000.00 ","75,380.00 ",104.69%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Malaysia,200329,HIGHLIGHT,560-277,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Highlight,Complete,,2933600,"2,933,600 ",,,,,,"2,933,600 ",,,,"52,663.44 ","61,453.00 ",116.69%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Myanmar,200253,RED STAR TRADING CO. LTD.,554-003,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Red star,Complete,,10267600,"10,267,600 ",,,,,,"10,267,600 ",,,,"353,675.88 ","431,838.00 ",122.10%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Myanmar,288430,"Pan Theingi Trading Co., Ltd.",554-008,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_PTG,Complete,,1466800,"1,466,800 ",,,,,,"1,466,800 ",,,,"72,000.00 ","322,530.00 ",447.96%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Myanmar,288378,Yarzar Tun Lin Trading Company Limited,554-007,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Yarzar Tun Lin,Complete,,1466800,"1,466,800 ",,,,,,"1,466,800 ",,,,"72,000.00 ","193,250.00 ",268.40%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Chuan Lam,Complete,,5867200,"5,867,200 ",,,,,,"5,867,200 ",,,,"818,241.84 ","418,969.00 ",51.20%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Philippines,200242,"YOUNG AUTO SUPPLY CO., INC.",510-011,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Young Auto Supply,Complete,,2933600,"2,933,600 ",,,,,,"2,933,600 ",,,,"149,631.84 ","152,115.00 ",101.66%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Singapore,203984,JAMEX( SINGAPORE) PTE LTD,561-007,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Jamex,Complete,,5867200,"5,867,200 ",,,,,,"5,867,200 ",,,,"123,175.86 ","97,028.00 ",78.77%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Singapore,201110,NUK AUTO PARTS PTE LTD,561-115,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_Nuk,Complete,,2933600,"2,933,600 ",,,,,,"2,933,600 ",,,,"18,111.18 ","72,252.00 ",398.94%,,,,,,,,,,,,,,,,
2024-12-30,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Asia & Pacific,Thailand,288352,GP Mobility Public Company Limited,530-000,[브랜드 프로모션] 72주년 기념 마케팅 프로모션 진행 건_GP,Complete,,10267600,"10,267,600 ",,,,,,"10,267,600 ",,,,"32,086.44 ","113,106.00 ",352.50%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Poland,200209,INTER-TEAM SP. Z O.O.,230-003,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Inter-Team,Complete,,11126338,"11,126,338 ",,,,,,"11,126,338 ",,,,"72,000.00 ","104,134.50 ",144.63%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Moldova,200467,GBS S.R.L.,381-004,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_GBS,Complete,,16529016,"16,529,016 ",,,,,,"16,529,016 ",,,,"36,000.00 ","154,699.67 ",429.72%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Finland,200205,KOIVUNEN OY,213-006,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Koivunen,Complete,,7756077,"7,756,077 ",,,,,,"7,756,077 ",,,,"36,000.00 ","72,591.29 ",201.64%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Bulgaria,200630,Elit Car LTD,380-015,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Elit Car,Complete,,2494487,"2,494,487 ",,,,,,"2,494,487 ",,,,"36,000.00 ","46,693.21 ",129.70%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Poland,200207,SAGA AUTO SP. Z O.O.,230-007,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Saga Auto,Complete,,7799293,"7,799,293 ",,,,,,"7,799,293 ",,,,"36,000.00 ","72,995.76 ",202.77%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Moldova,200369,NIPON AUTO S.R.L.,381-003,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Nipon Auto,Complete,,2456834,"2,456,834 ",,,,,,"2,456,834 ",,,,"36,000.00 ","45,988.39 ",127.75%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Republic of Turkiye,200283,Başbuğ Oto Yedek Parça San.,668-004,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Basbug,Complete,,10666918,"10,666,918 ",,,,,,"10,666,918 ",,,,"36,000.00 ","99,834.66 ",277.32%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Greece,288317,LIAKOPOULOS COMMERCIAL & INDUSTRIAL SA,250-006,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Liakopoulos,Complete,,7897138,"7,897,138 ",,,,,,"7,897,138 ",,,,"36,000.00 ","73,911.52 ",205.31%,,,,,,,,,,,,,,,,
2024-11-11,72NDPR-2024,72nd Anniversary Marketing Promotion,Promotion,Marketing Rewards,Europe,Romania,288215,UNIQUE DISTRIBUTION S.R.L.,295-003,[브랜드 프로모션] 72주년 마케팅 프로모션 인센티브 지급 건_Unique Distribution,Complete,,8340079,"8,340,079 ",,,,,,"8,340,079 ",,,,"36,000.00 ","78,057.13 ",216.83%,,,,,,,,,,,,,,,,
2026-01-13,INTRIP-2026,Incentive Trip,Local Marketing,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,Phaeton 초청 행사 현수막 제작 비용 (CIS 300),Complete,,13000,0 ,"13,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14,INTRIP-2026,Incentive Trip,Local Marketing,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,Phaeton 초청 행사 핫팩 구매 비용 (CIS 300),Complete,,35000,"35,000 ",,"35,000 ",,,,,,,8 ,,,,,,,,,,,,,,,,,,,
2026-01-09,PROMAT-2026,Promotional Materials,Material Support,Promotional Materials,LATAM,Mexico,289404,REFATRIX,100-017,홍보활동 지원,Complete,,4836312,"4,836,312 ",,,,,"4,836,312 ",,,,,,,,,,,,,,,,,,,,,,,
2026-01-16,PROMAT-2026,Promotional Materials,Material Support,Promotional Materials,Middle East,United Arab Emirates : UAE,288140,MOTOR WORLD,690-016,홍보활동 지원,Complete,,1622100,"1,622,100 ",,,,,"1,622,100 ",,,,,,,,,,,,,,,,,,,,,,,
2026-02-06,PROMAT-2026,Promotional Materials,Material Support,Promotional Materials,CIS,Kazakhstan,200323,PHAETON KZ LLP,280-006,홍보활동 지원,Complete,,102600,"102,600 ",,,,,"102,600 ",,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,PROMAT-2026,Promotional Materials,Material Support,Promotional Materials,Middle East,United Arab Emirates : UAE,200284,DYNATRADE,672-079,고객사 offline T/S 홍보물 지원 (4/24 예정),Complete,,4648000,"4,648,000 ",,,,,"4,648,000 ",,,,,,,,,,,,,,,,,,,,,,,
2025-03-14,LORDTS-2025,Lordco Trade Show,Local Marketing,Owned Media,N.America,Canada,289029,Lordco Auto Parts,322-003,Digital 활동,Complete,,1405275,0 ,,,,,,,,"1,405,275 ",,,,,,,,,4.0,"843,014 ","385,976 ","28,563 ","52,484 ",269 ,"1,666.97 ",49.2,0.02%,"5,224.07 ",26.78,
2024-11-13,FREERE-2024,Free Replacement Event,Promotion,Owned Media,Asia & Pacific,Philippines,200241,CHUAN LAM AUTO SUPPLY,510-003,Digital 활동,Complete,,3000000,0 ,,,,,,,,"3,000,000 ",,,,,,,,,4.0,"2,872,250 ","1,012,890 ","2,882,891 ","47,358 ","12,524 ","1,044.48 ",1.04,0.42%,239.54 ,63.35,
2019-04-29,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,Domestic,Korea,110047,KRC CORPORATION,T00013,바이어 인증패 제작,Complete,,120000,"120,000 ",,,,,"120,000 ",,,,,,,,,,,,,,,,,,,,,,,
2019-09-02,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,LATAM,Panama,200358,RP INTERNATIONAL GROUP INC,120-100,남미 바이어 관계증진을 위한 인증패 제작,Complete,,128800,"128,800 ",,,,,"128,800 ",,,,,,,,,,,,,,,,,,,,,,,
2019-09-02,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,LATAM,Colombia,200443,UNIVERSAL DE REPUESTOS,130-090,남미 바이어 관계증진을 위한 인증패 제작,Complete,,128800,"128,800 ",,,,,"128,800 ",,,,,,,,,,,,,,,,,,,,,,,
2019-09-02,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,LATAM,Chile,200460,MANNHEIM,139-101,남미 바이어 관계증진을 위한 인증패 제작,Complete,,128800,"128,800 ",,,,,"128,800 ",,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,CMLATM-2019,Co-funded Marketing (LATAM),Local Marketing,Co-Marketing,LATAM,Chile,200460,MANNHEIM,139-101,칠레 CAREP / Mannheim 광고 제작 건,Complete,,1200000,0 ,"1,200,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-22,CMCISS-2019,Co-funded Marketing (CIS),Local Marketing,Co-Marketing,CIS,Georgia,200447,AUTOBANI,272-002,2019년 GEORGIA 로컬전시회 참가 비용 결제,Complete,,1310510,"1,310,510 ",,,,,,"1,310,510 ",,,,,,,,,,,,,,,,,,,,,,
2019-11-06,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,Asia & Pacific,Thailand,200332,"AUTO BUSINESS CORPORATION CO., LTD.",530-001,태국 Autocorp 홍보물 제작비용 지급 건,Complete,,6781968,"6,781,968 ",,,,"6,781,968 ",,,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,Asia & Pacific,Thailand,200332,"AUTO BUSINESS CORPORATION CO., LTD.",530-001,태국 시장용 포스터 제작 비용 지급 건,Complete,,1000000,"1,000,000 ",,,,,"1,000,000 ",,,,,,,,,,,,,,,,,,,,,,,
2019-12-26,PROMAT-2019,Promotional Materials,Material Support,Promotional Materials,Asia & Pacific,Thailand,200332,"AUTO BUSINESS CORPORATION CO., LTD.",530-001,태국 시장용 제품 브로셔 제작 비용 지급 건,Complete,,3500000,"3,500,000 ",,,,,"3,500,000 ",,,,,,,,,,,,,,,,,,,,,,,
2020-09-16,PROMAT-2020,Promotional Materials,Material Support,Promotional Materials,LATAM,Panama,200714,NYH Group,120-102,SA_중남미 바이어 인증패 제작 건,Complete,,128800,"128,800 ",,,,,"128,800 ",,,,,,,,,,,,,,,,,,,,,,,
